Location,Month,Year,Month_Number,Quarter,Days,Population,Antibiotic,Class,Spectrum,Spectrum_Weight,Is_Combination,Quantity_Sold,Total_DDD,Latitude,Longitude,Resistance_Rate,Quantity_per_1000,Antibiotic_Share,Total_Monthly_Quantity,Total_Monthly_DDD,DDD_per_1000_per_day,Antibiotic_Class_Shift_Percent,Combination_Irrationality_Index_Percent,Volatility_Percent,Lag1_Quantity_Sold,Lag2_Quantity_Sold,Lag1_Resistance_Rate,Lag2_Resistance_Rate,Rolling_3M_Quantity,Rolling_3M_Resistance
Ahmedabad,2025-06,2025,6,2,30,8000000.0,Amoxicillin,Penicillin,Narrow,1,0.0,18210.0,27315.0,23.02,72.57,22.99,2.27625,0.09670019223212295,188314.0,208514.47999999998,0.8688103333333332,5.997755743272366,30.518177087205412,8.853402930929496,19915.0,21062.0,23.26,21.51,19729.0,22.58666666666667
Ahmedabad,2025-07,2025,7,3,31,8000000.0,Amoxicillin,Penicillin,Narrow,1,0.0,31974.0,47961.0,23.02,72.57,25.32,3.99675,0.16778527011780758,190565.0,218689.34000000003,0.8818118548387098,8.41632059630593,26.16482565004067,8.853402930929496,18210.0,19915.0,22.99,23.26,23366.333333333332,23.856666666666666
Ahmedabad,2025-08,2025,8,3,31,8000000.0,Amoxicillin,Penicillin,Narrow,1,0.0,19084.0,28626.0,23.02,72.57,24.0,2.3855,0.11750507973646943,162410.0,186519.08,0.752093064516129,5.796124398019067,30.100979003755928,8.853402930929496,31974.0,18210.0,25.32,22.99,23089.333333333332,24.103333333333335
Ahmedabad,2025-09,2025,9,3,30,8000000.0,Amoxicillin,Penicillin,Narrow,1,0.0,18426.0,27639.0,23.02,72.57,22.61,2.30325,0.12023491027732464,153250.0,169708.30000000002,0.7071179166666668,4.165533406731579,27.399673735725937,8.853402930929496,19084.0,31974.0,24.0,25.32,23161.333333333332,23.97666666666667
Ahmedabad,2025-10,2025,10,4,31,8000000.0,Amoxicillin,Penicillin,Narrow,1,0.0,15425.0,23137.5,23.02,72.57,23.81,1.928125,0.10562174746644755,146040.0,163772.68,0.6603737096774194,3.9989813066030755,29.670638181320186,8.853402930929496,18426.0,19084.0,22.61,24.0,17645.0,23.473333333333333
Ahmedabad,2025-11,2025,11,4,30,8000000.0,Amoxicillin,Penicillin,Narrow,1,0.0,15786.0,23679.0,23.02,72.57,23.52,1.97325,0.09675343380915315,163157.0,184664.92,0.7694371666666666,3.210005561703397,31.795755008979082,8.853402930929496,15425.0,18426.0,23.81,22.61,16545.666666666668,23.313333333333333
Ahmedabad,2025-12,2025,12,4,31,8000000.0,Amoxicillin,Penicillin,Narrow,1,0.0,19781.0,29671.5,23.02,72.57,24.06,2.472625,0.11445946962464053,172821.0,195588.08,0.7886616129032258,5.1865461376119555,31.73456929424086,8.853402930929496,15786.0,15425.0,23.52,23.81,16997.333333333332,23.796666666666667
Ahmedabad,2024-01,2024,1,1,31,8000000.0,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,2,1.0,33516.0,50274.0,23.02,72.57,17.36,4.1895,0.2063259501852969,162442.0,182644.8,0.7364709677419354,0.0,29.291070043461666,8.853402930929496,33516.0,33516.0,17.36,17.36,33516.0,17.36
Ahmedabad,2024-02,2024,2,1,29,8000000.0,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,2,1.0,34565.0,51847.5,23.02,72.57,18.46,4.320625,0.2006955976449549,172226.0,196107.78,0.8452921551724137,2.9128006896366503,27.985902244724954,8.853402930929496,33516.0,33516.0,17.36,17.36,34040.5,17.91
Ahmedabad,2024-03,2024,3,1,31,8000000.0,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,2,1.0,39969.0,59953.5,23.02,72.57,19.27,4.996125,0.21246770643957516,188118.0,204759.0,0.8256411290322581,5.644334351464905,29.512858950233362,8.853402930929496,34565.0,33516.0,18.46,17.36,36016.666666666664,18.363333333333333
Ahmedabad,2024-04,2024,4,2,30,8000000.0,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,2,1.0,42079.0,63118.5,23.02,72.57,17.17,5.259875,0.22202230828487912,189526.0,214714.61999999997,0.8946442499999999,4.6053023125867885,31.095997382944816,8.853402930929496,39969.0,34565.0,19.27,18.46,38871.0,18.3
Ahmedabad,2024-05,2024,5,2,31,8000000.0,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,2,1.0,33734.0,50601.0,23.02,72.57,19.75,4.21675,0.1887639191987018,178710.0,193693.22,0.7810210483870967,5.299845647816721,27.236864193385934,8.853402930929496,42079.0,39969.0,17.17,19.27,38594.0,18.73
Ahmedabad,2024-06,2024,6,2,30,8000000.0,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,2,1.0,39054.0,58581.0,23.02,72.57,19.14,4.88175,0.21869435204784463,178578.0,195898.46,0.8162435833333334,7.044303307828634,28.868057655478278,8.853402930929496,33734.0,42079.0,19.75,17.17,38289.0,18.686666666666667
Ahmedabad,2024-07,2024,7,3,31,8000000.0,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,2,1.0,36225.0,54337.5,23.02,72.57,18.04,4.528125,0.2154595578395161,168129.0,188244.65999999997,0.7590510483870967,3.511494711473498,28.893290271160836,8.853402930929496,39054.0,33734.0,19.14,19.75,36337.666666666664,18.976666666666667
Ahmedabad,2024-08,2024,8,3,31,8000000.0,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,2,1.0,32727.0,49090.5,23.02,72.57,20.96,4.090875,0.20534845927478307,159373.0,179046.2,0.7219604838709678,3.148402733264687,28.14592183117592,8.853402930929496,36225.0,39054.0,18.04,19.14,36002.0,19.38
Ahmedabad,2024-09,2024,9,3,30,8000000.0,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,2,1.0,31091.0,46636.5,23.02,72.57,20.27,3.886375,0.20095399988365856,154717.0,175416.2,0.7309008333333333,2.0094177072814703,28.989057440358852,8.853402930929496,32727.0,36225.0,20.96,18.04,33347.666666666664,19.756666666666664
Ahmedabad,2024-10,2024,10,4,31,8000000.0,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,2,1.0,35784.0,53676.0,23.02,72.57,19.43,4.473,0.22459893048128343,159324.0,182367.87999999998,0.7353543548387096,4.8973040504989775,30.80703472169918,8.853402930929496,31091.0,32727.0,20.27,20.96,33200.666666666664,20.220000000000002
Ahmedabad,2024-11,2024,11,4,30,8000000.0,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,2,1.0,37466.0,56199.0,23.02,72.57,21.63,4.68325,0.23977319270939995,156256.0,179691.88,0.7487161666666666,4.177009537809019,32.64194654925251,8.853402930929496,35784.0,31091.0,19.43,20.27,34780.333333333336,20.44333333333333
Ahmedabad,2024-12,2024,12,4,31,8000000.0,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,2,1.0,34051.0,51076.5,23.02,72.57,21.98,4.256375,0.21322254018547623,159697.0,174402.32,0.7032351612903226,5.920761731836956,28.86215771116552,8.853402930929496,37466.0,35784.0,21.63,19.43,35767.0,21.013333333333335
Ahmedabad,2025-01,2025,1,1,31,8000000.0,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,2,1.0,36409.0,54613.5,23.02,72.57,20.35,4.551125,0.21261723175389216,171242.0,189993.5,0.7661028225806452,3.255607766563694,30.085493044930566,8.853402930929496,34051.0,37466.0,21.98,21.63,35975.333333333336,21.32
Ahmedabad,2025-02,2025,2,1,28,8000000.0,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,2,1.0,40080.0,60120.0,23.02,72.57,22.16,5.01,0.21257975718809172,188541.0,213193.44,0.9517564285714286,1.8451294590861298,30.140393866586045,8.853402930929496,36409.0,34051.0,20.35,21.98,36846.666666666664,21.496666666666666
Ahmedabad,2025-03,2025,3,1,31,8000000.0,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,2,1.0,39851.0,59776.5,23.02,72.57,19.99,4.981375,0.21298166853722408,187110.0,208783.84000000003,0.8418703225806453,2.1125410709639065,30.109561220672333,8.853402930929496,40080.0,36409.0,22.16,20.35,38780.0,20.833333333333332
Ahmedabad,2025-04,2025,4,2,30,8000000.0,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,2,1.0,38040.0,57060.0,23.02,72.57,24.4,4.755,0.20102520741954236,189230.0,214796.14,0.8949839166666667,2.8141537445324123,29.436135919251704,8.853402930929496,39851.0,40080.0,19.99,22.16,39323.666666666664,22.183333333333334
Ahmedabad,2025-05,2025,5,2,31,8000000.0,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,2,1.0,44862.0,67293.0,23.02,72.57,22.94,5.60775,0.2164151744365545,207296.0,228990.09999999998,0.9233471774193547,6.379854413403523,29.95812750849027,8.853402930929496,38040.0,39851.0,24.4,19.99,40917.666666666664,22.44333333333333
Ahmedabad,2025-06,2025,6,2,30,8000000.0,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,2,1.0,40351.0,60526.5,23.02,72.57,24.62,5.043875,0.21427509372643563,188314.0,208514.47999999998,0.8688103333333332,5.997755743272366,30.518177087205412,8.853402930929496,44862.0,38040.0,22.94,24.4,41084.333333333336,23.986666666666668
Ahmedabad,2025-07,2025,7,3,31,8000000.0,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,2,1.0,36644.0,54966.0,23.02,72.57,25.55,4.5805,0.19229134416078503,190565.0,218689.34000000003,0.8818118548387098,8.41632059630593,26.16482565004067,8.853402930929496,40351.0,44862.0,24.62,22.94,40619.0,24.37
Ahmedabad,2025-08,2025,8,3,31,8000000.0,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,2,1.0,34088.0,51132.0,23.02,72.57,24.48,4.261,0.2098885536604889,162410.0,186519.08,0.752093064516129,5.796124398019067,30.100979003755928,8.853402930929496,36644.0,40351.0,25.55,24.62,37027.666666666664,24.883333333333336
Ahmedabad,2025-09,2025,9,3,30,8000000.0,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,2,1.0,29395.0,44092.5,23.02,72.57,23.1,3.674375,0.19181076672104405,153250.0,169708.30000000002,0.7071179166666668,4.165533406731579,27.399673735725937,8.853402930929496,34088.0,36644.0,24.48,25.55,33375.666666666664,24.376666666666665
Ahmedabad,2025-10,2025,10,4,31,8000000.0,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,2,1.0,31252.0,46878.0,23.02,72.57,24.08,3.9065,0.21399616543412764,146040.0,163772.68,0.6603737096774194,3.9989813066030755,29.670638181320186,8.853402930929496,29395.0,34088.0,23.1,24.48,31578.333333333332,23.886666666666667
Ahmedabad,2025-11,2025,11,4,30,8000000.0,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,2,1.0,37481.0,56221.5,23.02,72.57,25.68,4.685125,0.22972351783864622,163157.0,184664.92,0.7694371666666666,3.210005561703397,31.795755008979082,8.853402930929496,31252.0,29395.0,24.08,23.1,32709.333333333332,24.286666666666665
Ahmedabad,2025-12,2025,12,4,31,8000000.0,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,2,1.0,41500.0,62250.0,23.02,72.57,21.9,5.1875,0.24013285422489164,172821.0,195588.08,0.7886616129032258,5.1865461376119555,31.73456929424086,8.853402930929496,37481.0,31252.0,25.68,24.08,36744.333333333336,23.886666666666667
Ahmedabad,2024-01,2024,1,1,31,8000000.0,Azithromycin,Macrolide,Broad,2,0.0,24954.0,7486.2,23.02,72.57,19.06,3.11925,0.1536179066990064,162442.0,182644.8,0.7364709677419354,0.0,29.291070043461666,8.853402930929496,24954.0,24954.0,19.06,19.06,24954.0,19.06
Ahmedabad,2024-02,2024,2,1,29,8000000.0,Azithromycin,Macrolide,Broad,2,0.0,26696.0,8008.799999999999,23.02,72.57,18.27,3.337,0.15500563213452093,172226.0,196107.78,0.8452921551724137,2.9128006896366503,27.985902244724954,8.853402930929496,24954.0,24954.0,19.06,19.06,25825.0,18.665
Ahmedabad,2024-03,2024,3,1,31,8000000.0,Azithromycin,Macrolide,Broad,2,0.0,32921.0,9876.3,23.02,72.57,20.57,4.115125,0.17500186053434547,188118.0,204759.0,0.8256411290322581,5.644334351464905,29.512858950233362,8.853402930929496,26696.0,24954.0,18.27,19.06,28190.333333333332,19.3
Ahmedabad,2024-04,2024,4,2,30,8000000.0,Azithromycin,Macrolide,Broad,2,0.0,30266.0,9079.8,23.02,72.57,19.03,3.78325,0.15969312917488893,189526.0,214714.61999999997,0.8946442499999999,4.6053023125867885,31.095997382944816,8.853402930929496,32921.0,26696.0,20.57,18.27,29961.0,19.290000000000003
Ahmedabad,2024-05,2024,5,2,31,8000000.0,Azithromycin,Macrolide,Broad,2,0.0,30651.0,9195.3,23.02,72.57,19.35,3.831375,0.171512506295115,178710.0,193693.22,0.7810210483870967,5.299845647816721,27.236864193385934,8.853402930929496,30266.0,32921.0,19.03,20.57,31279.333333333332,19.650000000000002
Ahmedabad,2024-06,2024,6,2,30,8000000.0,Azithromycin,Macrolide,Broad,2,0.0,28000.0,8400.0,23.02,72.57,21.64,3.5,0.15679422997233702,178578.0,195898.46,0.8162435833333334,7.044303307828634,28.868057655478278,8.853402930929496,30651.0,30266.0,19.35,19.03,29639.0,20.006666666666668
Ahmedabad,2024-07,2024,7,3,31,8000000.0,Azithromycin,Macrolide,Broad,2,0.0,28753.0,8625.9,23.02,72.57,19.98,3.594125,0.17101749252062404,168129.0,188244.65999999997,0.7590510483870967,3.511494711473498,28.893290271160836,8.853402930929496,28000.0,30651.0,21.64,19.35,29134.666666666668,20.323333333333334
Ahmedabad,2024-08,2024,8,3,31,8000000.0,Azithromycin,Macrolide,Broad,2,0.0,25377.0,7613.099999999999,23.02,72.57,19.18,3.172125,0.15923023347743973,159373.0,179046.2,0.7219604838709678,3.148402733264687,28.14592183117592,8.853402930929496,28753.0,28000.0,19.98,21.64,27376.666666666668,20.26666666666667
Ahmedabad,2024-09,2024,9,3,30,8000000.0,Azithromycin,Macrolide,Broad,2,0.0,25624.0,7687.2,23.02,72.57,20.89,3.203,0.1656185163879858,154717.0,175416.2,0.7309008333333333,2.0094177072814703,28.989057440358852,8.853402930929496,25377.0,28753.0,19.18,19.98,26584.666666666668,20.016666666666666
Ahmedabad,2024-10,2024,10,4,31,8000000.0,Azithromycin,Macrolide,Broad,2,0.0,23480.0,7044.0,23.02,72.57,20.33,2.935,0.14737264944390047,159324.0,182367.87999999998,0.7353543548387096,4.8973040504989775,30.80703472169918,8.853402930929496,25624.0,25377.0,20.89,19.18,24827.0,20.133333333333333
Ahmedabad,2024-11,2024,11,4,30,8000000.0,Azithromycin,Macrolide,Broad,2,0.0,21684.0,6505.2,23.02,72.57,21.31,2.7105,0.13877227114478805,156256.0,179691.88,0.7487161666666666,4.177009537809019,32.64194654925251,8.853402930929496,23480.0,25624.0,20.33,20.89,23596.0,20.843333333333334
Ahmedabad,2024-12,2024,12,4,31,8000000.0,Azithromycin,Macrolide,Broad,2,0.0,27597.0,8279.1,23.02,72.57,21.68,3.449625,0.17280850610844287,159697.0,174402.32,0.7032351612903226,5.920761731836956,28.86215771116552,8.853402930929496,21684.0,23480.0,21.31,20.33,24253.666666666668,21.106666666666666
Ahmedabad,2025-01,2025,1,1,31,8000000.0,Azithromycin,Macrolide,Broad,2,0.0,27630.0,8289.0,23.02,72.57,20.12,3.45375,0.1613506032398594,171242.0,189993.5,0.7661028225806452,3.255607766563694,30.085493044930566,8.853402930929496,27597.0,21684.0,21.68,21.31,25637.0,21.036666666666665
Ahmedabad,2025-02,2025,2,1,28,8000000.0,Azithromycin,Macrolide,Broad,2,0.0,27256.0,8176.799999999999,23.02,72.57,20.86,3.407,0.1445627211057542,188541.0,213193.44,0.9517564285714286,1.8451294590861298,30.140393866586045,8.853402930929496,27630.0,27597.0,20.12,21.68,27494.333333333332,20.886666666666667
Ahmedabad,2025-03,2025,3,1,31,8000000.0,Azithromycin,Macrolide,Broad,2,0.0,29007.0,8702.1,23.02,72.57,21.67,3.625875,0.15502645502645504,187110.0,208783.84000000003,0.8418703225806453,2.1125410709639065,30.109561220672333,8.853402930929496,27256.0,27630.0,20.86,20.12,27964.333333333332,20.883333333333336
Ahmedabad,2025-04,2025,4,2,30,8000000.0,Azithromycin,Macrolide,Broad,2,0.0,28552.0,8565.6,23.02,72.57,22.86,3.569,0.1508851661998626,189230.0,214796.14,0.8949839166666667,2.8141537445324123,29.436135919251704,8.853402930929496,29007.0,27256.0,21.67,20.86,28271.666666666668,21.796666666666667
Ahmedabad,2025-05,2025,5,2,31,8000000.0,Azithromycin,Macrolide,Broad,2,0.0,28140.0,8442.0,23.02,72.57,23.34,3.5175,0.13574791602346403,207296.0,228990.09999999998,0.9233471774193547,6.379854413403523,29.95812750849027,8.853402930929496,28552.0,29007.0,22.86,21.67,28566.333333333332,22.623333333333335
Ahmedabad,2025-06,2025,6,2,30,8000000.0,Azithromycin,Macrolide,Broad,2,0.0,28429.0,8528.699999999999,23.02,72.57,22.34,3.553625,0.15096593986639337,188314.0,208514.47999999998,0.8688103333333332,5.997755743272366,30.518177087205412,8.853402930929496,28140.0,28552.0,23.34,22.86,28373.666666666668,22.846666666666668
Ahmedabad,2025-07,2025,7,3,31,8000000.0,Azithromycin,Macrolide,Broad,2,0.0,27499.0,8249.699999999999,23.02,72.57,24.75,3.437375,0.14430246897384094,190565.0,218689.34000000003,0.8818118548387098,8.41632059630593,26.16482565004067,8.853402930929496,28429.0,28140.0,22.34,23.34,28022.666666666668,23.47666666666667
Ahmedabad,2025-08,2025,8,3,31,8000000.0,Azithromycin,Macrolide,Broad,2,0.0,25385.0,7615.5,23.02,72.57,24.55,3.173125,0.15630195185025553,162410.0,186519.08,0.752093064516129,5.796124398019067,30.100979003755928,8.853402930929496,27499.0,28429.0,24.75,22.34,27104.333333333332,23.88
Ahmedabad,2025-09,2025,9,3,30,8000000.0,Azithromycin,Macrolide,Broad,2,0.0,25557.0,7667.099999999999,23.02,72.57,23.47,3.194625,0.1667667210440457,153250.0,169708.30000000002,0.7071179166666668,4.165533406731579,27.399673735725937,8.853402930929496,25385.0,27499.0,24.55,24.75,26147.0,24.256666666666664
Ahmedabad,2025-10,2025,10,4,31,8000000.0,Azithromycin,Macrolide,Broad,2,0.0,23021.0,6906.3,23.02,72.57,22.29,2.877625,0.15763489454943852,146040.0,163772.68,0.6603737096774194,3.9989813066030755,29.670638181320186,8.853402930929496,25557.0,25385.0,23.47,24.55,24654.333333333332,23.436666666666667
Ahmedabad,2025-11,2025,11,4,30,8000000.0,Azithromycin,Macrolide,Broad,2,0.0,24334.0,7300.2,23.02,72.57,23.35,3.04175,0.14914468885797116,163157.0,184664.92,0.7694371666666666,3.210005561703397,31.795755008979082,8.853402930929496,23021.0,25557.0,22.29,23.47,24304.0,23.036666666666665
Ahmedabad,2025-12,2025,12,4,31,8000000.0,Azithromycin,Macrolide,Broad,2,0.0,28441.0,8532.3,23.02,72.57,22.51,3.555125,0.16456912065084683,172821.0,195588.08,0.7886616129032258,5.1865461376119555,31.73456929424086,8.853402930929496,24334.0,23021.0,23.35,22.29,25265.333333333332,22.71666666666667
Ahmedabad,2024-01,2024,1,1,31,8000000.0,Cefixime,Cephalosporin,Broad,2,0.0,17295.0,6918.0,23.02,72.57,19.25,2.161875,0.10646877039189372,162442.0,182644.8,0.7364709677419354,0.0,29.291070043461666,8.853402930929496,17295.0,17295.0,19.25,19.25,17295.0,19.25
Ahmedabad,2024-02,2024,2,1,29,8000000.0,Cefixime,Cephalosporin,Broad,2,0.0,19342.0,7736.8,23.02,72.57,18.97,2.41775,0.11230592361199819,172226.0,196107.78,0.8452921551724137,2.9128006896366503,27.985902244724954,8.853402930929496,17295.0,17295.0,19.25,19.25,18318.5,19.11
Ahmedabad,2024-03,2024,3,1,31,8000000.0,Cefixime,Cephalosporin,Broad,2,0.0,22865.0,9146.0,23.02,72.57,16.7,2.858125,0.12154605088295645,188118.0,204759.0,0.8256411290322581,5.644334351464905,29.512858950233362,8.853402930929496,19342.0,17295.0,18.97,19.25,19834.0,18.30666666666667
Ahmedabad,2024-04,2024,4,2,30,8000000.0,Cefixime,Cephalosporin,Broad,2,0.0,21135.0,8454.0,23.02,72.57,20.35,2.641875,0.11151504279096272,189526.0,214714.61999999997,0.8946442499999999,4.6053023125867885,31.095997382944816,8.853402930929496,22865.0,19342.0,16.7,18.97,21114.0,18.673333333333336
Ahmedabad,2024-05,2024,5,2,31,8000000.0,Cefixime,Cephalosporin,Broad,2,0.0,19822.0,7928.8,23.02,72.57,16.87,2.47775,0.11091712830843266,178710.0,193693.22,0.7810210483870967,5.299845647816721,27.236864193385934,8.853402930929496,21135.0,22865.0,20.35,16.7,21274.0,17.973333333333333
Ahmedabad,2024-06,2024,6,2,30,8000000.0,Cefixime,Cephalosporin,Broad,2,0.0,21570.0,8628.0,23.02,72.57,19.23,2.69625,0.12078755501797533,178578.0,195898.46,0.8162435833333334,7.044303307828634,28.868057655478278,8.853402930929496,19822.0,21135.0,16.87,20.35,20842.333333333332,18.816666666666666
Ahmedabad,2024-07,2024,7,3,31,8000000.0,Cefixime,Cephalosporin,Broad,2,0.0,17003.0,6801.200000000001,23.02,72.57,21.14,2.125375,0.10113067941877962,168129.0,188244.65999999997,0.7590510483870967,3.511494711473498,28.893290271160836,8.853402930929496,21570.0,19822.0,19.23,16.87,19465.0,19.080000000000002
