Location,Month,Population,Antibiotic,Class,Spectrum,Is_Combination,Quantity_Sold,Latitude,Longitude
Delhi,2024-07,19000000,Doxycycline,Tetracycline,Broad,0,40403,28.61,77.21
Delhi,2024-07,19000000,Metronidazole,Nitroimidazole,Narrow,0,41017,28.61,77.21
Delhi,2024-07,19000000,Cotrimoxazole,Sulfonamide combination,Broad,1,36302,28.61,77.21
Delhi,2024-07,19000000,Meropenem,Carbapenem,Very Broad,0,2798,28.61,77.21
Delhi,2024-08,19000000,Amoxicillin,Penicillin,Narrow,0,65952,28.61,77.21
Delhi,2024-08,19000000,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,1,93124,28.61,77.21
Delhi,2024-08,19000000,Azithromycin,Macrolide,Broad,0,56664,28.61,77.21
Delhi,2024-08,19000000,Cefixime,Cephalosporin,Broad,0,44000,28.61,77.21
Delhi,2024-08,19000000,Ceftriaxone,Cephalosporin,Broad,0,19428,28.61,77.21
Delhi,2024-08,19000000,Ciprofloxacin,Fluoroquinolone,Broad,0,43550,28.61,77.21
Delhi,2024-08,19000000,Doxycycline,Tetracycline,Broad,0,34187,28.61,77.21
Delhi,2024-08,19000000,Metronidazole,Nitroimidazole,Narrow,0,29505,28.61,77.21
Delhi,2024-08,19000000,Cotrimoxazole,Sulfonamide combination,Broad,1,41930,28.61,77.21
Delhi,2024-08,19000000,Meropenem,Carbapenem,Very Broad,0,2702,28.61,77.21
Delhi,2024-09,19000000,Amoxicillin,Penicillin,Narrow,0,43996,28.61,77.21
Delhi,2024-09,19000000,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,1,96791,28.61,77.21
Delhi,2024-09,19000000,Azithromycin,Macrolide,Broad,0,65442,28.61,77.21
Delhi,2024-09,19000000,Cefixime,Cephalosporin,Broad,0,41983,28.61,77.21
Delhi,2024-09,19000000,Ceftriaxone,Cephalosporin,Broad,0,19513,28.61,77.21
Delhi,2024-09,19000000,Ciprofloxacin,Fluoroquinolone,Broad,0,44188,28.61,77.21
Delhi,2024-09,19000000,Doxycycline,Tetracycline,Broad,0,36729,28.61,77.21
Delhi,2024-09,19000000,Metronidazole,Nitroimidazole,Narrow,0,31611,28.61,77.21
Delhi,2024-09,19000000,Cotrimoxazole,Sulfonamide combination,Broad,1,41307,28.61,77.21
Delhi,2024-09,19000000,Meropenem,Carbapenem,Very Broad,0,2942,28.61,77.21
Delhi,2024-10,19000000,Amoxicillin,Penicillin,Narrow,0,37077,28.61,77.21
Delhi,2024-10,19000000,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,1,96915,28.61,77.21
Delhi,2024-10,19000000,Azithromycin,Macrolide,Broad,0,58351,28.61,77.21
Delhi,2024-10,19000000,Cefixime,Cephalosporin,Broad,0,39319,28.61,77.21
Delhi,2024-10,19000000,Ceftriaxone,Cephalosporin,Broad,0,18729,28.61,77.21
Delhi,2024-10,19000000,Ciprofloxacin,Fluoroquinolone,Broad,0,40482,28.61,77.21
Delhi,2024-10,19000000,Doxycycline,Tetracycline,Broad,0,34195,28.61,77.21
Delhi,2024-10,19000000,Metronidazole,Nitroimidazole,Narrow,0,30253,28.61,77.21
Delhi,2024-10,19000000,Cotrimoxazole,Sulfonamide combination,Broad,1,28531,28.61,77.21
Delhi,2024-10,19000000,Meropenem,Carbapenem,Very Broad,0,2226,28.61,77.21
Delhi,2024-11,19000000,Amoxicillin,Penicillin,Narrow,0,41010,28.61,77.21
Delhi,2024-11,19000000,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,1,79836,28.61,77.21
Delhi,2024-11,19000000,Azithromycin,Macrolide,Broad,0,60520,28.61,77.21
Delhi,2024-11,19000000,Cefixime,Cephalosporin,Broad,0,47256,28.61,77.21
Delhi,2024-11,19000000,Ceftriaxone,Cephalosporin,Broad,0,20150,28.61,77.21
Delhi,2024-11,19000000,Ciprofloxacin,Fluoroquinolone,Broad,0,57915,28.61,77.21
Delhi,2024-11,19000000,Doxycycline,Tetracycline,Broad,0,34637,28.61,77.21
Delhi,2024-11,19000000,Metronidazole,Nitroimidazole,Narrow,0,30800,28.61,77.21
Delhi,2024-11,19000000,Cotrimoxazole,Sulfonamide combination,Broad,1,41405,28.61,77.21
Delhi,2024-11,19000000,Meropenem,Carbapenem,Very Broad,0,2291,28.61,77.21
Delhi,2024-12,19000000,Amoxicillin,Penicillin,Narrow,0,54206,28.61,77.21
Delhi,2024-12,19000000,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,1,88208,28.61,77.21
Delhi,2024-12,19000000,Azithromycin,Macrolide,Broad,0,55745,28.61,77.21
Delhi,2024-12,19000000,Cefixime,Cephalosporin,Broad,0,42350,28.61,77.21
Delhi,2024-12,19000000,Ceftriaxone,Cephalosporin,Broad,0,22353,28.61,77.21
Delhi,2024-12,19000000,Ciprofloxacin,Fluoroquinolone,Broad,0,40602,28.61,77.21
Delhi,2024-12,19000000,Doxycycline,Tetracycline,Broad,0,31072,28.61,77.21
Delhi,2024-12,19000000,Metronidazole,Nitroimidazole,Narrow,0,36978,28.61,77.21
Delhi,2024-12,19000000,Cotrimoxazole,Sulfonamide combination,Broad,1,33642,28.61,77.21
Delhi,2024-12,19000000,Meropenem,Carbapenem,Very Broad,0,3131,28.61,77.21
Delhi,2025-01,19000000,Amoxicillin,Penicillin,Narrow,0,47691,28.61,77.21
Delhi,2025-01,19000000,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,1,94834,28.61,77.21
Delhi,2025-01,19000000,Azithromycin,Macrolide,Broad,0,75713,28.61,77.21
Delhi,2025-01,19000000,Cefixime,Cephalosporin,Broad,0,48181,28.61,77.21
Delhi,2025-01,19000000,Ceftriaxone,Cephalosporin,Broad,0,23571,28.61,77.21
Delhi,2025-01,19000000,Ciprofloxacin,Fluoroquinolone,Broad,0,47641,28.61,77.21
Delhi,2025-01,19000000,Doxycycline,Tetracycline,Broad,0,39926,28.61,77.21
Delhi,2025-01,19000000,Metronidazole,Nitroimidazole,Narrow,0,34212,28.61,77.21
Delhi,2025-01,19000000,Cotrimoxazole,Sulfonamide combination,Broad,1,40394,28.61,77.21
Delhi,2025-01,19000000,Meropenem,Carbapenem,Very Broad,0,2650,28.61,77.21
Delhi,2025-02,19000000,Amoxicillin,Penicillin,Narrow,0,56787,28.61,77.21
Delhi,2025-02,19000000,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,1,113890,28.61,77.21
Delhi,2025-02,19000000,Azithromycin,Macrolide,Broad,0,69255,28.61,77.21
Delhi,2025-02,19000000,Cefixime,Cephalosporin,Broad,0,53945,28.61,77.21
Delhi,2025-02,19000000,Ceftriaxone,Cephalosporin,Broad,0,19159,28.61,77.21
Delhi,2025-02,19000000,Ciprofloxacin,Fluoroquinolone,Broad,0,51666,28.61,77.21
Delhi,2025-02,19000000,Doxycycline,Tetracycline,Broad,0,39691,28.61,77.21
Delhi,2025-02,19000000,Metronidazole,Nitroimidazole,Narrow,0,35837,28.61,77.21
Delhi,2025-02,19000000,Cotrimoxazole,Sulfonamide combination,Broad,1,43147,28.61,77.21
Delhi,2025-02,19000000,Meropenem,Carbapenem,Very Broad,0,3047,28.61,77.21
Delhi,2025-03,19000000,Amoxicillin,Penicillin,Narrow,0,49743,28.61,77.21
Delhi,2025-03,19000000,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,1,115202,28.61,77.21
Delhi,2025-03,19000000,Azithromycin,Macrolide,Broad,0,66186,28.61,77.21
Delhi,2025-03,19000000,Cefixime,Cephalosporin,Broad,0,61283,28.61,77.21
Delhi,2025-03,19000000,Ceftriaxone,Cephalosporin,Broad,0,24071,28.61,77.21
Delhi,2025-03,19000000,Ciprofloxacin,Fluoroquinolone,Broad,0,51005,28.61,77.21
Delhi,2025-03,19000000,Doxycycline,Tetracycline,Broad,0,41139,28.61,77.21
Delhi,2025-03,19000000,Metronidazole,Nitroimidazole,Narrow,0,38441,28.61,77.21
Delhi,2025-03,19000000,Cotrimoxazole,Sulfonamide combination,Broad,1,48185,28.61,77.21
Delhi,2025-03,19000000,Meropenem,Carbapenem,Very Broad,0,3478,28.61,77.21
Delhi,2025-04,19000000,Amoxicillin,Penicillin,Narrow,0,50352,28.61,77.21
Delhi,2025-04,19000000,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,1,110807,28.61,77.21
Delhi,2025-04,19000000,Azithromycin,Macrolide,Broad,0,69990,28.61,77.21
Delhi,2025-04,19000000,Cefixime,Cephalosporin,Broad,0,54881,28.61,77.21
Delhi,2025-04,19000000,Ceftriaxone,Cephalosporin,Broad,0,24505,28.61,77.21
Delhi,2025-04,19000000,Ciprofloxacin,Fluoroquinolone,Broad,0,55466,28.61,77.21
Delhi,2025-04,19000000,Doxycycline,Tetracycline,Broad,0,43087,28.61,77.21
Delhi,2025-04,19000000,Metronidazole,Nitroimidazole,Narrow,0,35997,28.61,77.21
Delhi,2025-04,19000000,Cotrimoxazole,Sulfonamide combination,Broad,1,48130,28.61,77.21
Delhi,2025-04,19000000,Meropenem,Carbapenem,Very Broad,0,2935,28.61,77.21
Delhi,2025-05,19000000,Amoxicillin,Penicillin,Narrow,0,48310,28.61,77.21
Delhi,2025-05,19000000,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,1,109848,28.61,77.21
Delhi,2025-05,19000000,Azithromycin,Macrolide,Broad,0,77942,28.61,77.21
Delhi,2025-05,19000000,Cefixime,Cephalosporin,Broad,0,56255,28.61,77.21
Delhi,2025-05,19000000,Ceftriaxone,Cephalosporin,Broad,0,23628,28.61,77.21
Delhi,2025-05,19000000,Ciprofloxacin,Fluoroquinolone,Broad,0,43906,28.61,77.21
Delhi,2025-05,19000000,Doxycycline,Tetracycline,Broad,0,44673,28.61,77.21
Delhi,2025-05,19000000,Metronidazole,Nitroimidazole,Narrow,0,41092,28.61,77.21
Delhi,2025-05,19000000,Cotrimoxazole,Sulfonamide combination,Broad,1,48256,28.61,77.21
Delhi,2025-05,19000000,Meropenem,Carbapenem,Very Broad,0,3330,28.61,77.21
Delhi,2025-06,19000000,Amoxicillin,Penicillin,Narrow,0,50021,28.61,77.21
Delhi,2025-06,19000000,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,1,104382,28.61,77.21
Delhi,2025-06,19000000,Azithromycin,Macrolide,Broad,0,70353,28.61,77.21
Delhi,2025-06,19000000,Cefixime,Cephalosporin,Broad,0,57132,28.61,77.21
Delhi,2025-06,19000000,Ceftriaxone,Cephalosporin,Broad,0,21937,28.61,77.21
Delhi,2025-06,19000000,Ciprofloxacin,Fluoroquinolone,Broad,0,47395,28.61,77.21
Delhi,2025-06,19000000,Doxycycline,Tetracycline,Broad,0,41964,28.61,77.21
Delhi,2025-06,19000000,Metronidazole,Nitroimidazole,Narrow,0,35781,28.61,77.21
Delhi,2025-06,19000000,Cotrimoxazole,Sulfonamide combination,Broad,1,46664,28.61,77.21
Delhi,2025-06,19000000,Meropenem,Carbapenem,Very Broad,0,3158,28.61,77.21
Delhi,2025-07,19000000,Amoxicillin,Penicillin,Narrow,0,39781,28.61,77.21
Delhi,2025-07,19000000,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,1,146960,28.61,77.21
Delhi,2025-07,19000000,Azithromycin,Macrolide,Broad,0,59443,28.61,77.21
Delhi,2025-07,19000000,Cefixime,Cephalosporin,Broad,0,44537,28.61,77.21
Delhi,2025-07,19000000,Ceftriaxone,Cephalosporin,Broad,0,21785,28.61,77.21
Delhi,2025-07,19000000,Ciprofloxacin,Fluoroquinolone,Broad,0,48795,28.61,77.21
Delhi,2025-07,19000000,Doxycycline,Tetracycline,Broad,0,32547,28.61,77.21
Delhi,2025-07,19000000,Metronidazole,Nitroimidazole,Narrow,0,32843,28.61,77.21
Delhi,2025-07,19000000,Cotrimoxazole,Sulfonamide combination,Broad,1,43957,28.61,77.21
Delhi,2025-07,19000000,Meropenem,Carbapenem,Very Broad,0,2745,28.61,77.21
Delhi,2025-08,19000000,Amoxicillin,Penicillin,Narrow,0,45240,28.61,77.21
Delhi,2025-08,19000000,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,1,95642,28.61,77.21
Delhi,2025-08,19000000,Azithromycin,Macrolide,Broad,0,65646,28.61,77.21
Delhi,2025-08,19000000,Cefixime,Cephalosporin,Broad,0,46665,28.61,77.21
Delhi,2025-08,19000000,Ceftriaxone,Cephalosporin,Broad,0,24951,28.61,77.21
Delhi,2025-08,19000000,Ciprofloxacin,Fluoroquinolone,Broad,0,38625,28.61,77.21
Delhi,2025-08,19000000,Doxycycline,Tetracycline,Broad,0,33242,28.61,77.21
Delhi,2025-08,19000000,Metronidazole,Nitroimidazole,Narrow,0,30700,28.61,77.21
Delhi,2025-08,19000000,Cotrimoxazole,Sulfonamide combination,Broad,1,38823,28.61,77.21
Delhi,2025-08,19000000,Meropenem,Carbapenem,Very Broad,0,2968,28.61,77.21
Delhi,2025-09,19000000,Amoxicillin,Penicillin,Narrow,0,47051,28.61,77.21
Delhi,2025-09,19000000,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,1,90449,28.61,77.21
Delhi,2025-09,19000000,Azithromycin,Macrolide,Broad,0,56106,28.61,77.21
Delhi,2025-09,19000000,Cefixime,Cephalosporin,Broad,0,44842,28.61,77.21
Delhi,2025-09,19000000,Ceftriaxone,Cephalosporin,Broad,0,21678,28.61,77.21
Delhi,2025-09,19000000,Ciprofloxacin,Fluoroquinolone,Broad,0,44802,28.61,77.21
Delhi,2025-09,19000000,Doxycycline,Tetracycline,Broad,0,37116,28.61,77.21
Delhi,2025-09,19000000,Metronidazole,Nitroimidazole,Narrow,0,26800,28.61,77.21
Delhi,2025-09,19000000,Cotrimoxazole,Sulfonamide combination,Broad,1,36194,28.61,77.21
Delhi,2025-09,19000000,Meropenem,Carbapenem,Very Broad,0,2415,28.61,77.21
Delhi,2025-10,19000000,Amoxicillin,Penicillin,Narrow,0,41536,28.61,77.21
Delhi,2025-10,19000000,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,1,98261,28.61,77.21
Delhi,2025-10,19000000,Azithromycin,Macrolide,Broad,0,62184,28.61,77.21
Delhi,2025-10,19000000,Cefixime,Cephalosporin,Broad,0,49201,28.61,77.21
Delhi,2025-10,19000000,Ceftriaxone,Cephalosporin,Broad,0,20568,28.61,77.21
Delhi,2025-10,19000000,Ciprofloxacin,Fluoroquinolone,Broad,0,42600,28.61,77.21
Delhi,2025-10,19000000,Doxycycline,Tetracycline,Broad,0,40616,28.61,77.21
Delhi,2025-10,19000000,Metronidazole,Nitroimidazole,Narrow,0,30803,28.61,77.21
Delhi,2025-10,19000000,Cotrimoxazole,Sulfonamide combination,Broad,1,40616,28.61,77.21
Delhi,2025-10,19000000,Meropenem,Carbapenem,Very Broad,0,2664,28.61,77.21
Delhi,2025-11,19000000,Amoxicillin,Penicillin,Narrow,0,40089,28.61,77.21
Delhi,2025-11,19000000,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,1,81994,28.61,77.21
Delhi,2025-11,19000000,Azithromycin,Macrolide,Broad,0,63789,28.61,77.21
Delhi,2025-11,19000000,Cefixime,Cephalosporin,Broad,0,52950,28.61,77.21
Delhi,2025-11,19000000,Ceftriaxone,Cephalosporin,Broad,0,17874,28.61,77.21
Delhi,2025-11,19000000,Ciprofloxacin,Fluoroquinolone,Broad,0,42331,28.61,77.21
Delhi,2025-11,19000000,Doxycycline,Tetracycline,Broad,0,36458,28.61,77.21
Delhi,2025-11,19000000,Metronidazole,Nitroimidazole,Narrow,0,30308,28.61,77.21
Delhi,2025-11,19000000,Cotrimoxazole,Sulfonamide combination,Broad,1,34875,28.61,77.21
Delhi,2025-11,19000000,Meropenem,Carbapenem,Very Broad,0,3152,28.61,77.21
Delhi,2025-12,19000000,Amoxicillin,Penicillin,Narrow,0,44780,28.61,77.21
Delhi,2025-12,19000000,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,1,100549,28.61,77.21
Delhi,2025-12,19000000,Azithromycin,Macrolide,Broad,0,65374,28.61,77.21
Delhi,2025-12,19000000,Cefixime,Cephalosporin,Broad,0,45014,28.61,77.21
Delhi,2025-12,19000000,Ceftriaxone,Cephalosporin,Broad,0,20956,28.61,77.21
Delhi,2025-12,19000000,Ciprofloxacin,Fluoroquinolone,Broad,0,49110,28.61,77.21
Delhi,2025-12,19000000,Doxycycline,Tetracycline,Broad,0,36597,28.61,77.21
Delhi,2025-12,19000000,Metronidazole,Nitroimidazole,Narrow,0,31597,28.61,77.21
Delhi,2025-12,19000000,Cotrimoxazole,Sulfonamide combination,Broad,1,54099,28.61,77.21
Delhi,2025-12,19000000,Meropenem,Carbapenem,Very Broad,0,2436,28.61,77.21
Mumbai,2024-01,13000000,Amoxicillin,Penicillin,Narrow,0,29792,19.08,72.88
Mumbai,2024-01,13000000,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,1,51473,19.08,72.88
Mumbai,2024-01,13000000,Azithromycin,Macrolide,Broad,0,56026,19.08,72.88
Mumbai,2024-01,13000000,Cefixime,Cephalosporin,Broad,0,31482,19.08,72.88
Mumbai,2024-01,13000000,Ceftriaxone,Cephalosporin,Broad,0,12089,19.08,72.88
Mumbai,2024-01,13000000,Ciprofloxacin,Fluoroquinolone,Broad,0,41700,19.08,72.88
Mumbai,2024-01,13000000,Doxycycline,Tetracycline,Broad,0,26220,19.08,72.88
Mumbai,2024-01,13000000,Metronidazole,Nitroimidazole,Narrow,0,21720,19.08,72.88
Mumbai,2024-01,13000000,Cotrimoxazole,Sulfonamide combination,Broad,1,29180,19.08,72.88
Mumbai,2024-01,13000000,Meropenem,Carbapenem,Very Broad,0,1707,19.08,72.88
Mumbai,2024-02,13000000,Amoxicillin,Penicillin,Narrow,0,36608,19.08,72.88
Mumbai,2024-02,13000000,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,1,77807,19.08,72.88
Mumbai,2024-02,13000000,Azithromycin,Macrolide,Broad,0,50500,19.08,72.88
Mumbai,2024-02,13000000,Cefixime,Cephalosporin,Broad,0,33744,19.08,72.88
Mumbai,2024-02,13000000,Ceftriaxone,Cephalosporin,Broad,0,13966,19.08,72.88
Mumbai,2024-02,13000000,Ciprofloxacin,Fluoroquinolone,Broad,0,28911,19.08,72.88
Mumbai,2024-02,13000000,Doxycycline,Tetracycline,Broad,0,25887,19.08,72.88
Mumbai,2024-02,13000000,Metronidazole,Nitroimidazole,Narrow,0,19762,19.08,72.88
Mumbai,2024-02,13000000,Cotrimoxazole,Sulfonamide combination,Broad,1,24074,19.08,72.88
Mumbai,2024-02,13000000,Meropenem,Carbapenem,Very Broad,0,1971,19.08,72.88
Mumbai,2024-03,13000000,Amoxicillin,Penicillin,Narrow,0,33987,19.08,72.88
Mumbai,2024-03,13000000,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,1,68457,19.08,72.88
Mumbai,2024-03,13000000,Azithromycin,Macrolide,Broad,0,53532,19.08,72.88
Mumbai,2024-03,13000000,Cefixime,Cephalosporin,Broad,0,37811,19.08,72.88
Mumbai,2024-03,13000000,Ceftriaxone,Cephalosporin,Broad,0,17432,19.08,72.88
Mumbai,2024-03,13000000,Ciprofloxacin,Fluoroquinolone,Broad,0,33490,19.08,72.88
Mumbai,2024-03,13000000,Doxycycline,Tetracycline,Broad,0,26045,19.08,72.88
Mumbai,2024-03,13000000,Metronidazole,Nitroimidazole,Narrow,0,23349,19.08,72.88
Mumbai,2024-03,13000000,Cotrimoxazole,Sulfonamide combination,Broad,1,29824,19.08,72.88
Mumbai,2024-03,13000000,Meropenem,Carbapenem,Very Broad,0,1919,19.08,72.88
Mumbai,2024-04,13000000,Amoxicillin,Penicillin,Narrow,0,34574,19.08,72.88
Mumbai,2024-04,13000000,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,1,80205,19.08,72.88
Mumbai,2024-04,13000000,Azithromycin,Macrolide,Broad,0,62414,19.08,72.88
Mumbai,2024-04,13000000,Cefixime,Cephalosporin,Broad,0,34786,19.08,72.88
Mumbai,2024-04,13000000,Ceftriaxone,Cephalosporin,Broad,0,13847,19.08,72.88
Mumbai,2024-04,13000000,Ciprofloxacin,Fluoroquinolone,Broad,0,38529,19.08,72.88
Mumbai,2024-04,13000000,Doxycycline,Tetracycline,Broad,0,29805,19.08,72.88
Mumbai,2024-04,13000000,Metronidazole,Nitroimidazole,Narrow,0,23243,19.08,72.88
Mumbai,2024-04,13000000,Cotrimoxazole,Sulfonamide combination,Broad,1,27831,19.08,72.88
Mumbai,2024-04,13000000,Meropenem,Carbapenem,Very Broad,0,2423,19.08,72.88
Mumbai,2024-05,13000000,Amoxicillin,Penicillin,Narrow,0,35045,19.08,72.88
Mumbai,2024-05,13000000,Amoxicillin-Clavulanate,Penicillin + beta-lactamase inhibitor,Broad,1,67690,19.08,72.88
Mumbai,2024-05,13000000,Azithromycin,Macrolide,Broad,0,56104,19.08,72.88
