Location,Month,Antibiotic,Resistance_Rate
Delhi,2025-01,Amoxicillin-Clavulanate,25.93
Delhi,2025-01,Azithromycin,24.43
Delhi,2025-01,Cefixime,25.29
Delhi,2025-01,Ceftriaxone,25.41
Delhi,2025-01,Ciprofloxacin,28.94
Delhi,2025-01,Doxycycline,24.08
Delhi,2025-01,Metronidazole,22.36
Delhi,2025-01,Cotrimoxazole,23.49
Delhi,2025-01,Meropenem,25.2
Delhi,2025-02,Amoxicillin,28.04
Delhi,2025-02,Amoxicillin-Clavulanate,25.19
Delhi,2025-02,Azithromycin,26.81
Delhi,2025-02,Cefixime,26.94
Delhi,2025-02,Ceftriaxone,26.27
Delhi,2025-02,Ciprofloxacin,25.83
Delhi,2025-02,Doxycycline,25.42
Delhi,2025-02,Metronidazole,26.01
Delhi,2025-02,Cotrimoxazole,26.11
Delhi,2025-02,Meropenem,24.03
Delhi,2025-03,Amoxicillin,26.41
Delhi,2025-03,Amoxicillin-Clavulanate,28.15
Delhi,2025-03,Azithromycin,25.72
Delhi,2025-03,Cefixime,27.11
Delhi,2025-03,Ceftriaxone,27.1
Delhi,2025-03,Ciprofloxacin,26.45
Delhi,2025-03,Doxycycline,25.38
Delhi,2025-03,Metronidazole,26.07
Delhi,2025-03,Cotrimoxazole,26.5
Delhi,2025-03,Meropenem,25.11
Delhi,2025-04,Amoxicillin,26.47
Delhi,2025-04,Amoxicillin-Clavulanate,27.01
Delhi,2025-04,Azithromycin,25.96
Delhi,2025-04,Cefixime,26.43
Delhi,2025-04,Ceftriaxone,30.08
Delhi,2025-04,Ciprofloxacin,25.08
Delhi,2025-04,Doxycycline,26.9
Delhi,2025-04,Metronidazole,24.72
Delhi,2025-04,Cotrimoxazole,26.45
Delhi,2025-04,Meropenem,28.22
Delhi,2025-05,Amoxicillin,26.85
Delhi,2025-05,Amoxicillin-Clavulanate,26.45
Delhi,2025-05,Azithromycin,26.66
Delhi,2025-05,Cefixime,26.5
Delhi,2025-05,Ceftriaxone,28.79
Delhi,2025-05,Ciprofloxacin,26.85
Delhi,2025-05,Doxycycline,27.2
Delhi,2025-05,Metronidazole,24.83
Delhi,2025-05,Cotrimoxazole,24.97
Delhi,2025-05,Meropenem,25.76
Delhi,2025-06,Amoxicillin,26.79
Delhi,2025-06,Amoxicillin-Clavulanate,29.5
Delhi,2025-06,Azithromycin,25.56
Delhi,2025-06,Cefixime,26.88
Delhi,2025-06,Ceftriaxone,28.87
Delhi,2025-06,Ciprofloxacin,27.38
Delhi,2025-06,Doxycycline,25.38
Delhi,2025-06,Metronidazole,29.1
Delhi,2025-06,Cotrimoxazole,26.44
Delhi,2025-06,Meropenem,26.35
Delhi,2025-07,Amoxicillin,28.62
Delhi,2025-07,Amoxicillin-Clavulanate,28.94
Delhi,2025-07,Azithromycin,28.07
Delhi,2025-07,Cefixime,27.44
Delhi,2025-07,Ceftriaxone,28.39
Delhi,2025-07,Ciprofloxacin,28.1
Delhi,2025-07,Doxycycline,28.19
Delhi,2025-07,Metronidazole,25.88
Delhi,2025-07,Cotrimoxazole,30.08
Delhi,2025-07,Meropenem,26.03
Delhi,2025-08,Amoxicillin,28.98
Delhi,2025-08,Amoxicillin-Clavulanate,27.02
Delhi,2025-08,Azithromycin,26.27
Delhi,2025-08,Cefixime,27.53
Delhi,2025-08,Ceftriaxone,27.82
Delhi,2025-08,Ciprofloxacin,28.04
Delhi,2025-08,Doxycycline,26.42
Delhi,2025-08,Metronidazole,28.07
Delhi,2025-08,Cotrimoxazole,27.14
Delhi,2025-08,Meropenem,26.02
Delhi,2025-09,Amoxicillin,28.81
Delhi,2025-09,Amoxicillin-Clavulanate,29.63
Delhi,2025-09,Azithromycin,28.18
Delhi,2025-09,Cefixime,28.63
Delhi,2025-09,Ceftriaxone,27.56
Delhi,2025-09,Ciprofloxacin,27.48
Delhi,2025-09,Doxycycline,26.33
Delhi,2025-09,Metronidazole,28.98
Delhi,2025-09,Cotrimoxazole,28.82
Delhi,2025-09,Meropenem,26.29
Delhi,2025-10,Amoxicillin,28.67
Delhi,2025-10,Amoxicillin-Clavulanate,27.68
Delhi,2025-10,Azithromycin,27.01
Delhi,2025-10,Cefixime,29.29
Delhi,2025-10,Ceftriaxone,28.87
Delhi,2025-10,Ciprofloxacin,31.08
Delhi,2025-10,Doxycycline,29.16
Delhi,2025-10,Metronidazole,29.03
Delhi,2025-10,Cotrimoxazole,29.03
Delhi,2025-10,Meropenem,26.83
Delhi,2025-11,Amoxicillin,30.03
Delhi,2025-11,Amoxicillin-Clavulanate,28.29
Delhi,2025-11,Azithromycin,29.87
Delhi,2025-11,Cefixime,29.32
Delhi,2025-11,Ceftriaxone,29.56
Delhi,2025-11,Ciprofloxacin,29.01
Delhi,2025-11,Doxycycline,29.79
Delhi,2025-11,Metronidazole,26.1
Delhi,2025-11,Cotrimoxazole,30.4
Delhi,2025-11,Meropenem,27.17
Delhi,2025-12,Amoxicillin,27.91
Delhi,2025-12,Amoxicillin-Clavulanate,27.93
Delhi,2025-12,Azithromycin,26.35
Delhi,2025-12,Cefixime,29.68
Delhi,2025-12,Ceftriaxone,28.22
Delhi,2025-12,Ciprofloxacin,29.15
Delhi,2025-12,Doxycycline,29.21
Delhi,2025-12,Metronidazole,27.02
Delhi,2025-12,Cotrimoxazole,28.17
Delhi,2025-12,Meropenem,26.03
Mumbai,2024-01,Amoxicillin,24.0
Mumbai,2024-01,Amoxicillin-Clavulanate,26.67
Mumbai,2024-01,Azithromycin,24.19
Mumbai,2024-01,Cefixime,23.71
Mumbai,2024-01,Ceftriaxone,23.67
Mumbai,2024-01,Ciprofloxacin,23.96
Mumbai,2024-01,Doxycycline,23.31
Mumbai,2024-01,Metronidazole,22.53
Mumbai,2024-01,Cotrimoxazole,24.17
Mumbai,2024-01,Meropenem,21.69
Mumbai,2024-02,Amoxicillin,23.46
Mumbai,2024-02,Amoxicillin-Clavulanate,24.33
Mumbai,2024-02,Azithromycin,22.13
Mumbai,2024-02,Cefixime,24.89
Mumbai,2024-02,Ceftriaxone,24.41
Mumbai,2024-02,Ciprofloxacin,22.08
Mumbai,2024-02,Doxycycline,23.37
Mumbai,2024-02,Metronidazole,21.23
Mumbai,2024-02,Cotrimoxazole,24.43
Mumbai,2024-02,Meropenem,22.56
Mumbai,2024-03,Amoxicillin,26.79
Mumbai,2024-03,Amoxicillin-Clavulanate,25.33
Mumbai,2024-03,Azithromycin,22.48
Mumbai,2024-03,Cefixime,22.1
Mumbai,2024-03,Ceftriaxone,23.83
Mumbai,2024-03,Ciprofloxacin,22.98
Mumbai,2024-03,Doxycycline,25.48
Mumbai,2024-03,Metronidazole,23.29
Mumbai,2024-03,Cotrimoxazole,24.93
Mumbai,2024-03,Meropenem,22.74
Mumbai,2024-04,Amoxicillin,24.9
Mumbai,2024-04,Amoxicillin-Clavulanate,24.46
Mumbai,2024-04,Azithromycin,25.19
Mumbai,2024-04,Cefixime,25.01
Mumbai,2024-04,Ceftriaxone,23.85
Mumbai,2024-04,Ciprofloxacin,26.45
Mumbai,2024-04,Doxycycline,23.48
Mumbai,2024-04,Metronidazole,23.13
Mumbai,2024-04,Cotrimoxazole,21.12
Mumbai,2024-04,Meropenem,24.07
Mumbai,2024-05,Amoxicillin,25.65
Mumbai,2024-05,Amoxicillin-Clavulanate,25.03
Mumbai,2024-05,Azithromycin,23.95
Mumbai,2024-05,Cefixime,24.47
Mumbai,2024-05,Ceftriaxone,25.05
Mumbai,2024-05,Ciprofloxacin,25.61
Mumbai,2024-05,Doxycycline,24.92
Mumbai,2024-05,Metronidazole,23.79
Mumbai,2024-05,Cotrimoxazole,25.7
Mumbai,2024-05,Meropenem,23.69
Mumbai,2024-06,Amoxicillin,25.15
Mumbai,2024-06,Amoxicillin-Clavulanate,25.3
Mumbai,2024-06,Azithromycin,23.06
Mumbai,2024-06,Cefixime,25.52
Mumbai,2024-06,Ceftriaxone,23.92
Mumbai,2024-06,Ciprofloxacin,24.13
Mumbai,2024-06,Doxycycline,22.15
Mumbai,2024-06,Metronidazole,24.0
Mumbai,2024-06,Cotrimoxazole,26.59
Mumbai,2024-06,Meropenem,23.8
Mumbai,2024-07,Amoxicillin,26.84
Mumbai,2024-07,Amoxicillin-Clavulanate,28.09
Mumbai,2024-07,Azithromycin,25.41
Mumbai,2024-07,Cefixime,24.84
Mumbai,2024-07,Ceftriaxone,25.36
Mumbai,2024-07,Ciprofloxacin,25.69
Mumbai,2024-07,Doxycycline,24.09
Mumbai,2024-07,Metronidazole,23.99
Mumbai,2024-07,Cotrimoxazole,26.32
Mumbai,2024-07,Meropenem,25.46
Mumbai,2024-08,Amoxicillin,24.69
Mumbai,2024-08,Amoxicillin-Clavulanate,24.96
Mumbai,2024-08,Azithromycin,24.8
Mumbai,2024-08,Cefixime,26.7
Mumbai,2024-08,Ceftriaxone,27.67
Mumbai,2024-08,Ciprofloxacin,29.01
Mumbai,2024-08,Doxycycline,24.61
Mumbai,2024-08,Metronidazole,24.48
Mumbai,2024-08,Cotrimoxazole,26.23
Mumbai,2024-08,Meropenem,23.92
Mumbai,2024-09,Amoxicillin,26.26
Mumbai,2024-09,Amoxicillin-Clavulanate,25.32
Mumbai,2024-09,Azithromycin,22.35
Mumbai,2024-09,Cefixime,26.09
Mumbai,2024-09,Ceftriaxone,26.12
Mumbai,2024-09,Ciprofloxacin,27.36
Mumbai,2024-09,Doxycycline,25.06
Mumbai,2024-09,Metronidazole,23.49
Mumbai,2024-09,Cotrimoxazole,25.22
Mumbai,2024-09,Meropenem,22.3
Mumbai,2024-10,Amoxicillin,25.42
Mumbai,2024-10,Amoxicillin-Clavulanate,26.8
Mumbai,2024-10,Azithromycin,25.28
Mumbai,2024-10,Cefixime,27.3
Mumbai,2024-10,Ceftriaxone,24.49
Mumbai,2024-10,Ciprofloxacin,26.02
Mumbai,2024-10,Doxycycline,24.84
Mumbai,2024-10,Metronidazole,26.23
Mumbai,2024-10,Cotrimoxazole,26.57
Mumbai,2024-10,Meropenem,25.61
Mumbai,2024-11,Amoxicillin,28.38
Mumbai,2024-11,Amoxicillin-Clavulanate,25.64
Mumbai,2024-11,Azithromycin,26.96
Mumbai,2024-11,Cefixime,25.07
Mumbai,2024-11,Ceftriaxone,25.4
Mumbai,2024-11,Ciprofloxacin,27.05
Mumbai,2024-11,Doxycycline,23.65
Mumbai,2024-11,Metronidazole,25.76
Mumbai,2024-11,Cotrimoxazole,25.88
Mumbai,2024-11,Meropenem,26.03
Mumbai,2024-12,Amoxicillin,26.61
Mumbai,2024-12,Amoxicillin-Clavulanate,26.1
Mumbai,2024-12,Azithromycin,26.06
Mumbai,2024-12,Cefixime,25.5
Mumbai,2024-12,Ceftriaxone,25.81
Mumbai,2024-12,Ciprofloxacin,26.75
Mumbai,2024-12,Doxycycline,25.28
Mumbai,2024-12,Metronidazole,24.69
Mumbai,2024-12,Cotrimoxazole,25.68
Mumbai,2024-12,Meropenem,26.62
Mumbai,2025-01,Amoxicillin,26.28
Mumbai,2025-01,Amoxicillin-Clavulanate,25.61
Mumbai,2025-01,Azithromycin,23.71
Mumbai,2025-01,Cefixime,26.26
Mumbai,2025-01,Ceftriaxone,27.4
Mumbai,2025-01,Ciprofloxacin,27.23
Mumbai,2025-01,Doxycycline,25.52
Mumbai,2025-01,Metronidazole,26.27
Mumbai,2025-01,Cotrimoxazole,26.66
Mumbai,2025-01,Meropenem,26.17
Mumbai,2025-02,Amoxicillin,28.54
Mumbai,2025-02,Amoxicillin-Clavulanate,28.52
Mumbai,2025-02,Azithromycin,26.05
Mumbai,2025-02,Cefixime,25.53
Mumbai,2025-02,Ceftriaxone,28.09
Mumbai,2025-02,Ciprofloxacin,27.84
Mumbai,2025-02,Doxycycline,27.77
Mumbai,2025-02,Metronidazole,27.27
Mumbai,2025-02,Cotrimoxazole,28.66
Mumbai,2025-02,Meropenem,26.26
Mumbai,2025-03,Amoxicillin,27.73
Mumbai,2025-03,Amoxicillin-Clavulanate,25.3
Mumbai,2025-03,Azithromycin,26.6
Mumbai,2025-03,Cefixime,26.41
Mumbai,2025-03,Ceftriaxone,27.62
Mumbai,2025-03,Ciprofloxacin,27.07
Mumbai,2025-03,Doxycycline,26.6
Mumbai,2025-03,Metronidazole,25.78
Mumbai,2025-03,Cotrimoxazole,27.57
Mumbai,2025-03,Meropenem,22.61
Mumbai,2025-04,Amoxicillin,28.32
Mumbai,2025-04,Amoxicillin-Clavulanate,28.76
Mumbai,2025-04,Azithromycin,28.92
Mumbai,2025-04,Cefixime,28.44
Mumbai,2025-04,Ceftriaxone,29.87
Mumbai,2025-04,Ciprofloxacin,27.82
Mumbai,2025-04,Doxycycline,26.67
Mumbai,2025-04,Metronidazole,27.06
Mumbai,2025-04,Cotrimoxazole,27.14
Mumbai,2025-04,Meropenem,25.32
Mumbai,2025-05,Amoxicillin,27.99
Mumbai,2025-05,Amoxicillin-Clavulanate,26.64
Mumbai,2025-05,Azithromycin,27.86
Mumbai,2025-05,Cefixime,28.08
Mumbai,2025-05,Ceftriaxone,28.06
Mumbai,2025-05,Ciprofloxacin,27.44
Mumbai,2025-05,Doxycycline,27.64
Mumbai,2025-05,Metronidazole,27.74
Mumbai,2025-05,Cotrimoxazole,26.33
Mumbai,2025-05,Meropenem,25.17
Mumbai,2025-06,Amoxicillin,29.97
Mumbai,2025-06,Amoxicillin-Clavulanate,26.71
Mumbai,2025-06,Azithromycin,28.23
Mumbai,2025-06,Cefixime,30.2
Mumbai,2025-06,Ceftriaxone,30.6
Mumbai,2025-06,Ciprofloxacin,29.23
Mumbai,2025-06,Doxycycline,28.2
Mumbai,2025-06,Metronidazole,29.7
Mumbai,2025-06,Cotrimoxazole,25.35
Mumbai,2025-06,Meropenem,26.41
Mumbai,2025-07,Amoxicillin,29.94
Mumbai,2025-07,Amoxicillin-Clavulanate,27.94
Mumbai,2025-07,Azithromycin,29.07
Mumbai,2025-07,Cefixime,28.46
Mumbai,2025-07,Ceftriaxone,29.05
Mumbai,2025-07,Ciprofloxacin,28.21
Mumbai,2025-07,Doxycycline,26.94
Mumbai,2025-07,Metronidazole,26.71
Mumbai,2025-07,Cotrimoxazole,28.31
Mumbai,2025-07,Meropenem,26.16
Mumbai,2025-08,Amoxicillin,30.2
Mumbai,2025-08,Amoxicillin-Clavulanate,29.17
Mumbai,2025-08,Azithromycin,29.06
Mumbai,2025-08,Cefixime,27.41
Mumbai,2025-08,Ceftriaxone,27.18
Mumbai,2025-08,Ciprofloxacin,28.65
Mumbai,2025-08,Doxycycline,30.84
Mumbai,2025-08,Metronidazole,28.85
Mumbai,2025-08,Cotrimoxazole,27.54
Mumbai,2025-08,Meropenem,27.62
Mumbai,2025-09,Amoxicillin,30.04
Mumbai,2025-09,Amoxicillin-Clavulanate,27.03
Mumbai,2025-09,Azithromycin,29.45
Mumbai,2025-09,Cefixime,28.55
Mumbai,2025-09,Ceftriaxone,29.04
Mumbai,2025-09,Ciprofloxacin,28.77
Mumbai,2025-09,Doxycycline,29.0
Mumbai,2025-09,Metronidazole,26.71
Mumbai,2025-09,Cotrimoxazole,26.36
Mumbai,2025-09,Meropenem,27.59
Mumbai,2025-10,Amoxicillin,27.08
Mumbai,2025-10,Amoxicillin-Clavulanate,28.29
Mumbai,2025-10,Azithromycin,29.33
Mumbai,2025-10,Cefixime,29.46
Mumbai,2025-10,Ceftriaxone,30.37
Mumbai,2025-10,Ciprofloxacin,29.51
Mumbai,2025-10,Doxycycline,30.48
Mumbai,2025-10,Metronidazole,26.98
Mumbai,2025-10,Cotrimoxazole,28.76
Mumbai,2025-10,Meropenem,26.84
Mumbai,2025-11,Amoxicillin,30.47
Mumbai,2025-11,Amoxicillin-Clavulanate,28.65
Mumbai,2025-11,Azithromycin,30.0
Mumbai,2025-11,Cefixime,28.33
Mumbai,2025-11,Ceftriaxone,30.86
Mumbai,2025-11,Ciprofloxacin,29.57
Mumbai,2025-11,Doxycycline,27.88
Mumbai,2025-11,Metronidazole,28.31
Mumbai,2025-11,Cotrimoxazole,28.7
Mumbai,2025-11,Meropenem,27.8
Mumbai,2025-12,Amoxicillin,29.27
Mumbai,2025-12,Amoxicillin-Clavulanate,28.03
Mumbai,2025-12,Azithromycin,27.83
Mumbai,2025-12,Cefixime,27.15
Mumbai,2025-12,Ceftriaxone,30.33
Mumbai,2025-12,Ciprofloxacin,27.64
Mumbai,2025-12,Doxycycline,27.76
Mumbai,2025-12,Metronidazole,28.51
Mumbai,2025-12,Cotrimoxazole,29.42
Mumbai,2025-12,Meropenem,25.55
Bengaluru,2024-01,Amoxicillin,20.32
Bengaluru,2024-01,Amoxicillin-Clavulanate,20.48
Bengaluru,2024-01,Azithromycin,19.65
Bengaluru,2024-01,Cefixime,21.58
Bengaluru,2024-01,Ceftriaxone,19.45
Bengaluru,2024-01,Ciprofloxacin,17.84
Bengaluru,2024-01,Doxycycline,20.35
Bengaluru,2024-01,Metronidazole,18.74
Bengaluru,2024-01,Cotrimoxazole,17.85
Bengaluru,2024-01,Meropenem,18.97
Bengaluru,2024-02,Amoxicillin,21.86
Bengaluru,2024-02,Amoxicillin-Clavulanate,18.67
Bengaluru,2024-02,Azithromycin,22.25
Bengaluru,2024-02,Cefixime,19.26
Bengaluru,2024-02,Ceftriaxone,20.54
Bengaluru,2024-02,Ciprofloxacin,18.84
Bengaluru,2024-02,Doxycycline,19.59
Bengaluru,2024-02,Metronidazole,19.27
Bengaluru,2024-02,Cotrimoxazole,18.23
Bengaluru,2024-02,Meropenem,22.34
Bengaluru,2024-03,Amoxicillin,20.2
Bengaluru,2024-03,Amoxicillin-Clavulanate,19.75
Bengaluru,2024-03,Azithromycin,20.97
Bengaluru,2024-03,Cefixime,22.42
Bengaluru,2024-03,Ceftriaxone,21.92
Bengaluru,2024-03,Ciprofloxacin,19.1
Bengaluru,2024-03,Doxycycline,20.01
Bengaluru,2024-03,Metronidazole,17.58
Bengaluru,2024-03,Cotrimoxazole,21.09
Bengaluru,2024-03,Meropenem,17.66
Bengaluru,2024-04,Amoxicillin,20.25
Bengaluru,2024-04,Amoxicillin-Clavulanate,20.67
Bengaluru,2024-04,Azithromycin,20.76
Bengaluru,2024-04,Cefixime,20.51
Bengaluru,2024-04,Ceftriaxone,22.74
Bengaluru,2024-04,Ciprofloxacin,21.6
Bengaluru,2024-04,Doxycycline,20.85
Bengaluru,2024-04,Metronidazole,18.66
Bengaluru,2024-04,Cotrimoxazole,22.34
Bengaluru,2024-04,Meropenem,18.93
Bengaluru,2024-05,Amoxicillin,23.45
Bengaluru,2024-05,Amoxicillin-Clavulanate,23.29
Bengaluru,2024-05,Azithromycin,21.22
Bengaluru,2024-05,Cefixime,22.33
Bengaluru,2024-05,Ceftriaxone,18.08
Bengaluru,2024-05,Ciprofloxacin,20.98
Bengaluru,2024-05,Doxycycline,21.73
Bengaluru,2024-05,Metronidazole,21.4
Bengaluru,2024-05,Cotrimoxazole,19.52
Bengaluru,2024-05,Meropenem,19.86
Bengaluru,2024-06,Amoxicillin,18.95
Bengaluru,2024-06,Amoxicillin-Clavulanate,21.72
Bengaluru,2024-06,Azithromycin,18.78
Bengaluru,2024-06,Cefixime,22.64
Bengaluru,2024-06,Ceftriaxone,22.97
Bengaluru,2024-06,Ciprofloxacin,20.88
Bengaluru,2024-06,Doxycycline,21.29
Bengaluru,2024-06,Metronidazole,20.34
Bengaluru,2024-06,Cotrimoxazole,21.32
Bengaluru,2024-06,Meropenem,19.11
Bengaluru,2024-07,Amoxicillin,22.64
Bengaluru,2024-07,Amoxicillin-Clavulanate,19.66
Bengaluru,2024-07,Azithromycin,19.04
Bengaluru,2024-07,Cefixime,21.47
Bengaluru,2024-07,Ceftriaxone,21.65
Bengaluru,2024-07,Ciprofloxacin,21.91
Bengaluru,2024-07,Doxycycline,20.2
Bengaluru,2024-07,Metronidazole,22.86
Bengaluru,2024-07,Cotrimoxazole,21.44
Bengaluru,2024-07,Meropenem,20.83
Bengaluru,2024-08,Amoxicillin,22.39
Bengaluru,2024-08,Amoxicillin-Clavulanate,22.79
Bengaluru,2024-08,Azithromycin,21.9
Bengaluru,2024-08,Cefixime,22.31
Bengaluru,2024-08,Ceftriaxone,22.92
Bengaluru,2024-08,Ciprofloxacin,19.82
Bengaluru,2024-08,Doxycycline,19.17
Bengaluru,2024-08,Metronidazole,20.91
Bengaluru,2024-08,Cotrimoxazole,21.26
Bengaluru,2024-08,Meropenem,21.42
Bengaluru,2024-09,Amoxicillin,22.17
Bengaluru,2024-09,Amoxicillin-Clavulanate,22.3
Bengaluru,2024-09,Azithromycin,19.88
Bengaluru,2024-09,Cefixime,21.79
Bengaluru,2024-09,Ceftriaxone,20.6
Bengaluru,2024-09,Ciprofloxacin,22.23
Bengaluru,2024-09,Doxycycline,19.04
Bengaluru,2024-09,Metronidazole,21.36
Bengaluru,2024-09,Cotrimoxazole,19.84
Bengaluru,2024-09,Meropenem,20.34
Bengaluru,2024-10,Amoxicillin,22.79
Bengaluru,2024-10,Amoxicillin-Clavulanate,21.59
Bengaluru,2024-10,Azithromycin,19.13
Bengaluru,2024-10,Cefixime,20.73
Bengaluru,2024-10,Ceftriaxone,20.09
Bengaluru,2024-10,Ciprofloxacin,19.61
Bengaluru,2024-10,Doxycycline,20.93
Bengaluru,2024-10,Metronidazole,21.29
Bengaluru,2024-10,Cotrimoxazole,21.62
Bengaluru,2024-10,Meropenem,21.13
Bengaluru,2024-11,Amoxicillin,21.65
Bengaluru,2024-11,Amoxicillin-Clavulanate,20.9
Bengaluru,2024-11,Azithromycin,19.63
Bengaluru,2024-11,Cefixime,20.85
Bengaluru,2024-11,Ceftriaxone,20.14
Bengaluru,2024-11,Ciprofloxacin,20.4
Bengaluru,2024-11,Doxycycline,20.78
Bengaluru,2024-11,Metronidazole,20.42
Bengaluru,2024-11,Cotrimoxazole,24.38
Bengaluru,2024-11,Meropenem,18.87
Bengaluru,2024-12,Amoxicillin,21.76
Bengaluru,2024-12,Amoxicillin-Clavulanate,19.86
Bengaluru,2024-12,Azithromycin,20.61
Bengaluru,2024-12,Cefixime,21.18
Bengaluru,2024-12,Ceftriaxone,22.76
Bengaluru,2024-12,Ciprofloxacin,21.07
Bengaluru,2024-12,Doxycycline,20.69
Bengaluru,2024-12,Metronidazole,20.29
